season_player_id,season_code,player_id,player,team_id,games_played,games_started,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,plus_minus,minutes_per_game,points_per_game,two_points_made_per_game,two_points_attempted_per_game,two_points_percentage,three_points_made_per_game,three_points_attempted_per_game,three_points_percentage,free_throws_made_per_game,free_throws_attempted_per_game,free_throws_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,turnovers_per_game,blocks_favour_per_game,blocks_against_per_game,fouls_committed_per_game,fouls_received_per_game,valuation_per_game,plus_minus_per_game
E2013_P002543_PAR,E2013,P002543,"WESTERMANN, LEO",PAR,5.0,5.0,135.6,35,6,19,5,13,8,8,1,6,7,11,2,12,0,2,12,11,19,-8,27.11,7.0,1.2,3.8,0.316,1.0,2.6,0.385,1.6,1.6,1.0,0.2,1.2,1.4,2.2,0.4,2.4,0.0,0.4,2.4,2.2,3.8,-1.6
E2014_P002543_LMG,E2014,P002543,"WESTERMANN, LEO",LMG,10.0,10.0,234.4,77,13,35,14,38,9,10,7,16,23,43,17,19,1,3,32,23,83,-53,23.44,7.7,1.3,3.5,0.371,1.4,3.8,0.368,0.9,1.0,0.9,0.7,1.6,2.3,4.3,1.7,1.9,0.1,0.3,3.2,2.3,8.3,-5.3
E2015_P002543_LMG,E2015,P002543,"WESTERMANN, LEO",LMG,10.0,10.0,273.5,101,26,47,11,32,16,18,3,25,28,43,11,34,1,3,22,26,107,-79,27.35,10.1,2.6,4.7,0.553,1.1,3.2,0.344,1.6,1.8,0.889,0.3,2.5,2.8,4.3,1.1,3.4,0.1,0.3,2.2,2.6,10.7,-7.9
E2016_P002543_ZAL,E2016,P002543,"WESTERMANN, LEO",ZAL,30.0,27.0,754.1,247,56,114,32,93,39,44,15,81,96,166,16,71,1,4,85,59,301,-2,25.14,8.23,1.87,3.8,0.491,1.07,3.1,0.344,1.3,1.47,0.886,0.5,2.7,3.2,5.53,0.53,2.37,0.03,0.13,2.83,1.97,10.03,-0.07
E2017_P002543_CSK,E2017,P002543,"WESTERMANN, LEO",CSK,17.0,4.0,228.9,79,12,29,13,40,16,16,4,16,20,32,7,14,1,2,31,20,68,39,13.47,4.65,0.71,1.71,0.414,0.76,2.35,0.325,0.94,0.94,1.0,0.24,0.94,1.18,1.88,0.41,0.82,0.06,0.12,1.82,1.18,4.0,2.29
E2018_P002543_ZAL,E2018,P002543,"WESTERMANN, LEO",ZAL,27.0,11.0,464.2,172,16,45,37,88,29,39,6,48,54,76,15,55,0,2,56,45,159,-28,17.19,6.37,0.59,1.67,0.356,1.37,3.26,0.42,1.07,1.44,0.744,0.22,1.78,2.0,2.81,0.56,2.04,0.0,0.07,2.07,1.67,5.89,-1.04
E2019_P002543_ULK,E2019,P002543,"WESTERMANN, LEO",ULK,22.0,10.0,263.5,84,8,22,21,44,5,7,5,30,35,39,8,23,0,3,43,17,75,-41,11.98,3.82,0.36,1.0,0.364,0.95,2.0,0.477,0.23,0.32,0.714,0.23,1.36,1.59,1.77,0.36,1.05,0.0,0.14,1.95,0.77,3.41,-1.86
E2020_P002543_BAR,E2020,P002543,"WESTERMANN, LEO",BAR,15.0,1.0,165.4,41,5,11,8,26,7,9,2,19,21,27,5,9,0,1,26,11,43,22,11.03,2.73,0.33,0.73,0.455,0.53,1.73,0.308,0.47,0.6,0.778,0.13,1.27,1.4,1.8,0.33,0.6,0.0,0.07,1.73,0.73,2.87,1.47
E2020_P002543_ULK,E2020,P002543,"WESTERMANN, LEO",ULK,9.0,3.0,113.5,43,7,16,9,20,2,2,1,14,15,21,5,19,0,1,18,10,36,-39,12.61,4.78,0.78,1.78,0.438,1.0,2.22,0.45,0.22,0.22,1.0,0.11,1.56,1.67,2.33,0.56,2.11,0.0,0.11,2.0,1.11,4.0,-4.33
E2021_P002543_MCO,E2021,P002543,"WESTERMANN, LEO",MCO,22.0,14.0,368.2,105,14,34,18,57,23,26,5,28,33,54,7,30,2,3,46,30,90,38,16.73,4.77,0.64,1.55,0.412,0.82,2.59,0.316,1.05,1.18,0.885,0.23,1.27,1.5,2.45,0.32,1.36,0.09,0.14,2.09,1.36,4.09,1.73
E2022_P011934_BER,E2022,P011934,"WETZELL, YANNI",BER,31.0,1.0,392.6,203,81,156,0,0,41,58,34,54,88,15,10,25,13,14,55,48,191,-97,12.67,6.55,2.61,5.03,0.519,0.0,0.0,0.0,1.32,1.87,0.707,1.1,1.74,2.84,0.48,0.32,0.81,0.42,0.45,1.77,1.55,6.16,-3.13
E2023_P011934_BER,E2023,P011934,"WETZELL, YANNI",BER,27.0,17.0,539.4,213,85,161,1,5,40,60,37,58,95,23,17,40,7,14,61,48,188,-205,19.98,7.89,3.15,5.96,0.528,0.04,0.19,0.2,1.48,2.22,0.667,1.37,2.15,3.52,0.85,0.63,1.48,0.26,0.52,2.26,1.78,6.96,-7.59
E2024_P011934_BER,E2024,P011934,"WETZELL, YANNI",BER,5.0,4.0,101.6,38,13,30,1,4,9,11,8,21,29,5,1,9,1,4,10,14,43,-69,20.31,7.6,2.6,6.0,0.433,0.2,0.8,0.25,1.8,2.2,0.818,1.6,4.2,5.8,1.0,0.2,1.8,0.2,0.8,2.0,2.8,8.6,-13.8
E2017_P006505_ZAL,E2017,P006505,"WHITE, AARON",ZAL,36.0,2.0,804.7,322,100,171,20,52,62,83,38,120,158,35,22,34,13,19,77,71,367,54,22.35,8.94,2.78,4.75,0.585,0.56,1.44,0.385,1.72,2.31,0.747,1.06,3.33,4.39,0.97,0.61,0.94,0.36,0.53,2.14,1.97,10.19,1.5
E2018_P006505_ZAL,E2018,P006505,"WHITE, AARON",ZAL,34.0,23.0,844.7,280,83,145,14,42,72,91,35,107,142,23,12,28,7,15,71,98,339,-84,24.84,8.24,2.44,4.26,0.572,0.41,1.24,0.333,2.12,2.68,0.791,1.03,3.15,4.18,0.68,0.35,0.82,0.21,0.44,2.09,2.88,9.97,-2.47
E2019_P006505_MIL,E2019,P006505,"WHITE, AARON",MIL,15.0,3.0,150.6,31,6,16,3,12,10,12,7,14,21,5,2,6,1,3,17,16,29,-20,10.04,2.07,0.4,1.07,0.375,0.2,0.8,0.25,0.67,0.8,0.833,0.47,0.93,1.4,0.33,0.13,0.4,0.07,0.2,1.13,1.07,1.93,-1.33
E2020_P006505_PAN,E2020,P006505,"WHITE, AARON",PAN,33.0,17.0,740.9,241,55,90,27,74,50,62,44,89,133,32,16,24,6,7,62,56,297,-79,22.45,7.3,1.67,2.73,0.611,0.82,2.24,0.365,1.52,1.88,0.806,1.33,2.7,4.03,0.97,0.48,0.73,0.18,0.21,1.88,1.7,9.0,-2.39
E2021_P006505_RED,E2021,P006505,"WHITE, AARON",RED,18.0,9.0,326.0,99,20,46,11,37,26,31,25,40,65,22,10,14,1,2,19,28,133,-17,18.11,5.5,1.11,2.56,0.435,0.61,2.06,0.297,1.44,1.72,0.839,1.39,2.22,3.61,1.22,0.56,0.78,0.06,0.11,1.06,1.56,7.39,-0.94
E2014_P005935_BAS,E2014,P005935,"WHITE, D.J.",BAS,2.0,1.0,15.8,2,1,5,0,0,0,2,1,3,4,0,1,2,0,0,0,1,0,14,7.9,1.0,0.5,2.5,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.5,2.0,0.0,0.5,1.0,0.0,0.0,0.0,0.5,0.0,7.0
E2007_PTHC_ULK,E2007,PTHC,"WHITE, JAMES",ULK,21.0,11.0,413.4,143,39,66,13,35,26,34,16,45,61,20,12,30,4,2,32,29,148,17,19.69,6.81,1.86,3.14,0.591,0.62,1.67,0.371,1.24,1.62,0.765,0.76,2.14,2.9,0.95,0.57,1.43,0.19,0.1,1.52,1.38,7.05,0.81
E2014_PTHC_UNK,E2014,PTHC,"WHITE, JAMES",UNK,10.0,9.0,278.3,100,27,50,8,25,22,26,3,46,49,7,7,9,3,2,28,22,105,65,27.83,10.0,2.7,5.0,0.54,0.8,2.5,0.32,2.2,2.6,0.846,0.3,4.6,4.9,0.7,0.7,0.9,0.3,0.2,2.8,2.2,10.5,6.5
E2015_PTHC_CED,E2015,PTHC,"WHITE, JAMES",CED,24.0,24.0,679.7,225,69,129,14,47,45,56,17,91,108,45,20,24,3,6,61,54,260,-34,28.32,9.38,2.88,5.38,0.535,0.58,1.96,0.298,1.88,2.33,0.804,0.71,3.79,4.5,1.88,0.83,1.0,0.12,0.25,2.54,2.25,10.83,-1.42
E2021_P006336_PAN,E2021,P006336,"WHITE, OKARO",PAN,29.0,24.0,668.3,245,53,110,29,74,52,63,37,70,107,23,26,36,9,10,75,78,254,-39,23.04,8.45,1.83,3.79,0.482,1.0,2.55,0.392,1.79,2.17,0.825,1.28,2.41,3.69,0.79,0.9,1.24,0.31,0.34,2.59,2.69,8.76,-1.34
E2008_P001194_TEL,E2008,P001194,"WHITE, RODNEY",TEL,1.0,0.0,10.0,0,0,1,0,1,0,0,1,1,2,0,0,1,0,1,4,0,-6,-9,9.97,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,-6.0,-9.0
E2015_P006661_DAR,E2015,P006661,"WILBEKIN, SCOTTIE",DAR,20.0,5.0,426.6,205,33,80,36,103,31,41,4,26,30,46,20,32,1,4,43,57,156,-10,21.33,10.25,1.65,4.0,0.412,1.8,5.15,0.35,1.55,2.05,0.756,0.2,1.3,1.5,2.3,1.0,1.6,0.05,0.2,2.15,2.85,7.8,-0.5
E2016_P006661_DAR,E2016,P006661,"WILBEKIN, SCOTTIE",DAR,31.0,17.0,781.6,361,47,99,69,171,60,69,20,36,56,100,44,55,1,8,71,80,345,-37,25.21,11.65,1.52,3.19,0.475,2.23,5.52,0.404,1.94,2.23,0.87,0.65,1.16,1.81,3.23,1.42,1.77,0.03,0.26,2.29,2.58,11.13,-1.19
